"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR28748","1. Seizure","Kenya","2018-08-01 00:00:00","6 ivory pieces seized from residence in Naivasha, 1 arrested","https://citizentv.co.ke/news/man-arrested-over-rhino-killing-at-lake-nakuru-national-park-209171/","Media","","EIA","","In Premises (either domestic or business)","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR28779","1. Seizure","Kenya","2020-05-16 00:00:00","3 ivory pieces (38.6 kg) seized in Laikipia - 2 suspects arrested","https://africanelephantjournal.com/two-nabbed-with-game-trophies-as-kws-decries-increased-poaching-cases-kenya/","Media","","","Land - Vehicle","Inside Vehicle","Other","The items where found in a sack","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR28780","1. Seizure","Kenya","2020-05-09 00:00:00","9 tusks (50 kg) seized in Marina, Laikipia County - 3 arrested","https://africanelephantjournal.com/three-nabbed-in-laikipia-while-trying-to-sell-elephant-tusks-kenya/","Media","","","Land - Vehicle","Inside Vehicle","","","Investigation","Confiscation & arrest","","","","","","","",""
"MOR28788","1. Seizure","Kenya","2018-10-19 00:00:00","tusk seized in Laikipia county - 1 convicted","https://www.nation.co.ke/counties/laikipia/Man-possessing-elephant-tusk-jailed-for-five-years-/1183290-5559912-n5yghcz/index.html","Media","","","","","","","","Conviction - imprisonment","1","","1","","","","5","Years"
"MOR28842","1. Seizure","Kenya","2020-05-29 00:00:00","Dead full-grown giraffe and zebra seized, 2 arrested in Kirumbi Area, Voi Sub-County, Kenya","https://www.kenyanews.go.ke/two-suspected-poachers-arrested-carrying-giraffe-and-zebra-carcasses/","Media","","","Land - Vehicle","Inside Vehicle","","The seized dead giraffe and zebra were concealed inside the container of a trailer belonging to Mombasa Cement Company.","Intelligence","Charged - No further details","2","","","","","","",""
"MOR28930","1. Seizure","Kenya","2020-06-14 00:00:00","150 kg giraffe meat, 4 dikdik carcasses & 2 Lesser kudu carcasses seized in Garissa County - 4 arrested","https://www.the-star.co.ke/news/2020-06-14-four-suspected-poachers-arrested-with-150kg-of-giraffe-meat-in-garissa/","Media","https://www.nation.co.ke/kenya/counties/garissa/suspected-giraffe-poachers-to-face-court-663670
https://twitter.com/kwskenya/status/1272222013663428615/photo/1","","Land - Vehicle","In Personal Baggage","","The bushmeat was hidden in green sacks","Operation","Charged - No further details","4","","","","","","",""
"MOR29030","1. Seizure","Kenya","2018-01-01 00:00:00","4 ivory pieces (5kg) seized in Murera, Meru County - 3 convicted","http://www.kws.go.ke/content/three-fined-sh-3-million-illegal-possession-ivory","Media","","EIA","","On Person","","tusks in a white sack","","Conviction - court fine","3","3","","3000000","KES Kenyan Shilling","29641.900390625","",""
"MOR29031","1. Seizure","Kenya","2018-05-15 00:00:00","12kg ivory seized in Voi, Taita-Taveta - 1 arrest","http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_21.pdf","NGO","","EIA","","","","","","Confiscation & arrest","","","","","","","",""
"MOR29032","1. Seizure","Kenya","2018-08-22 00:00:00","21 kg ivory seized in Olkuruto, Narok - 1 arrest","http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf","NGO","","EIA","","","","","","Confiscation & arrest","","","","","","","",""
"MOR29033","1. Seizure","Kenya","2018-11-06 00:00:00","4 ivory pieces (13kg) seized in Nakuru - 2 convicted","https://www.nation.co.ke/counties/nakuru/Two-charged-with-having-Sh2-6m-elephant-tusks-/1183314-4840794-xgmqqtz/index.html","Media","","EIA","","","","","","Charged - Bail granted","2","","","","","","",""
"MOR29076","1. Seizure","Kenya","2018-11-23 00:00:00","tusks seized in Mathira, Nyeri County - 1 arrested","https://www.nation.co.ke/counties/nyeri/Two-arrested-for-having-elephant-tusks/1954190-4867358-f44p60/index.html","Media","","","","","","","","Confiscation & arrest","","","","","","","",""
"MOR29373","1. Seizure","Kenya","2020-07-21 00:00:00","6 pieces of elephant tusks seized in Kutus, Kirinyaga County - 2 arrested","https://citizentv.co.ke/news/kirinyaga-2-men-nabbed-with-elephant-tusks-worth-ksh-1m-339612/?utm_source=onesignal&utm_medium=notifications&utm_campaign=onesignal_notifications","Media","","","","","","","Investigation","Confiscation & arrest","","","","","","","",""
"MOR29384","1. Seizure","Kenya","2020-07-26 00:00:00","1 Elephant tusk seized in Endebess - 3 suspects (including a police officer) arrested","https://allafrica.com/stories/202007260044.html","Media","","","Land - Vehicle","Inside Vehicle","","Transported by motorbike.","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR29613","1. Seizure","Kenya","2020-08-08 00:00:00","2 Elephant tusks (18 kg) seized in Emotoroki area, Kajiado county - 5 arrested","https://africanelephantjournal.com/five-arrested-in-possession-of-elephant-tusks-kenya/","Media","","","Land - Vehicle","Inside Vehicle","","","Operation","Confiscation & arrest","","","","","","","",""
"MOR30138","1. Seizure","Kenya","2020-09-09 00:00:00","3 Elephant tusks (14 kg) seized in Kitale - 1 arrested","https://www.standardmedia.co.ke/rift-valley/article/2001385978/kitale-police-seize-elephant-tusks-worth-sh1-4m","Media","https://africa.cgtn.com/2020/09/10/kenyan-police-arrest-poacher-with-14-kg-elephant-tusks/","","","On Person","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR30333","2. Poaching / Illegal Harvesting","Kenya","2020-10-05 00:00:00","3 lion, 4 hyena and eland poached at Ol Chorro Conservancy","https://nation.africa/kenya/counties/narok/maasai-mara-wildlife-targeted-bush-meat-traps-2460782","Media","","","","","","","","Investigation ongoing","","","","","","","",""
"MOR30384","1. Seizure","Kenya","2020-09-01 00:00:00","Processed ivory worth 91,570 USD seized in Kajiado County - 1 arrested","https://citizentv.co.ke/news/man-arrested-with-processed-ivory-worth-more-than-ksh-10m-in-isinya-345567/","Media","https://www.kbc.co.ke/ivory-products-worth-ksh-10-million-seized-in-kajiado/","","Land - Vehicle","Inside Vehicle","","Items were confiscated while being transported using a motorcycle registration KMEW 993N.","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR30721","2. Poaching / Illegal Harvesting","Kenya","2018-06-21 00:00:00","Elephant killed in Ncoorolboro-Imenti Forest","https://allafrica.com/stories/201912110027.html","Media","","","","","","","","Arrest","","","","","","","",""
"MOR30722","5. Animal Injury / Mortality / Welfare","Kenya","2018-11-20 00:00:00","Three black rhinos found dead in Maasai Mara National Reserve","https://allafrica.com/stories/201811220255.html","Media","","","","","","","","Investigation ongoing","","","","","","","",""
"MOR30794","1. Seizure","Kenya","2020-10-01 00:00:00","8 Elephant tusks (48 kg) seized in Kitale, Trans Nzoia County, three suspects arrested","https://africanelephantjournal.com/kenya-police-arrest-three-with-ivory-worth-ksh-4-8-million/","Media","","","","On Person","","The items were placed in 3 backpacks","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR30838","1. Seizure","China","2020-10-10 00:00:00","3 strings of ivory beads and 4 ivory carvings seized at Guangzhou Baiyun International Airport coming from Kenya","http://english.customs.gov.cn/Statics/f928d773-14ee-4916-87bf-b4909f7a1160.html","Customs","http://www.customs.gov.cn/customs/xwfb34/302425/3325103/index.html","","Air","On Person","Under traveller's clothing","The string of ivory beads was found in the passengers luggage. The remaining ivory seized had been sewn into the suspects underwear.","","Confiscation","","","","","","","",""
"MOR31385","1. Seizure","Kenya","2020-09-26 00:00:00","2 rhino horns (1.24 kg) seized in Eastleigh area, Nairobi - 2 suspects charged","https://www.the-star.co.ke/news/2020-09-26-two-nabbed-in-eastleigh-with-rhino-horns/","Media","https://nairobinews.nation.co.ke/editors-picks/two-charged-with-being-in-possession-of-rhino-horns-worth-sh2million","","Land - Vehicle","Inside Vehicle","","Rhino horn and fake currency was seized from the car.","Intelligence","Charged - Pending court case","2","","","","","","",""
"MOR31580","1. Seizure","Kenya","2020-12-01 00:00:00","51.5 kg of ivory seized in Laisamis, Marsabit - 2 suspects arrested","https://africasustainableconservation.com/2020/12/04/kenya-four-arrested-in-marsabit-isiolo-for-illegal-possession-of-elephant-tusks/","Media","https://www.kbc.co.ke/four-arrested-in-marsabit-isiolo-for-illegal-possession-of-elephant-tusks/","","Land - Vehicle","","","KWS officials posed as buyers.","Intelligence","Charged - No further details","2","","","","","","",""
"MOR31724","1. Seizure","Kenya","2020-12-12 00:00:00","54kg ivory seized in a saloon car at Migori Kilgoris border, one suspect detained","https://www.capitalfm.co.ke/news/2020/12/suspected-ivory-trafficker-arrested-in-migori-54kg-elephant-tusks-cache-seized/","Media","","","Land - Vehicle","Inside Vehicle","","concealed the consignment","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR31847","1. Seizure","Kenya","2020-12-27 00:00:00","5 boxes full of Pangolin scales seized at Mombasa road, Nairobi - 6 arrested","https://www.the-star.co.ke/news/2020-12-27-six-arrested-for-illegal-possession-of-pangolin-scales/","Media","","","Land - Vehicle","Inside Vehicle","","Specimen were placed inside boxes and stuffed inside one of the suspects cars","Intelligence","Charged - No further details","6","","","","","","",""
"MOR31896","1. Seizure","Kenya","2020-09-01 00:00:00","5 pieces of ivory (6 kg) seized in Migori County - 2 suspects arrested","https://www.standardmedia.co.ke/rift-valley/article/2001386268/two-suspects-arrested-in-kitengela-with-elephant-tusks","Media","https://www.kbc.co.ke/two-suspects-arrested-with-ivory-worth-ksh-500000/","","","Other (please specify in Method of Concealment Details field)","","The ivory pieces were carried in bags.","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR31897","1. Seizure","Kenya","2020-09-01 00:00:00","300 kg of game meat seized in Enkorika - suspects escaped","https://www.standardmedia.co.ke/rift-valley/article/2001386268/two-suspects-arrested-in-kitengela-with-elephant-tusks","Media","https://www.kbc.co.ke/two-suspects-arrested-with-ivory-worth-ksh-500000/","","Land - Vehicle","Other (please specify in Method of Concealment Details field)","","Supect was trannsporting meat using a motorcycle","","Confiscation","","","","","","","",""
"MOR32048","1. Seizure","Kenya","2020-12-01 00:00:00","Two pieces of ivory, lion ribs and teeth seized in Kajiado county, two suspects detained","https://nairobinews.nation.co.ke/news/two-poachers-arrested-with-animal-body-parts-set-for-use-in-witchcraft","Media","","Environmental Investigation Agency (EIA)","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR32049","1. Seizure","Kenya","2020-12-01 00:00:00","7.1 kg of ivory seized in Isiolo county, two suspects detained","https://africasustainableconservation.com/2020/12/04/kenya-four-arrested-in-marsabit-isiolo-for-illegal-possession-of-elephant-tusks/","Media","https://www.kbc.co.ke/four-arrested-in-marsabit-isiolo-for-illegal-possession-of-elephant-tusks/","","Land - Vehicle","Other (please specify in Method of Concealment Details field)","","Transported by motorcycle.","","Confiscation & arrest","","","","","","","",""
"MOR32782","1. Seizure","Kenya","2021-02-01 00:00:00","7 tusks (51 kg) seized in Kabarnet, Baringo County - 3 arrested","https://citizentv.co.ke/news/senior-cop-from-rift-valley-hq-arrested-for-ivory-possession-5413284/","Media","https://www.kenyans.co.ke/news/61741-poloce-boss-linked-poaching-arrested-night-trap","","Land - Vehicle","Inside Vehicle","","Transported in 2 vehicles","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR33209","1. Seizure","Kenya","2019-12-24 00:00:00","200 pangolin scales seized in Amboseli, Kajiado, 4 suspects arrested","Robin des Bois On the Trail Covid19 pg 9","Media","","Environmental Investigation Agency (EIA)","","","","","","Confiscation & arrest","","","","","","","",""
"MOR33233","1. Seizure","Kenya","2019-08-26 00:00:00","1 live pangolin seized in Lake Nakuru National Park","Robin des Bois On the Trail No.26 pg48","NGO","","Environmental Investigation Agency (EIA)","","","","","","Confiscation","","","","","","","",""
"MOR33400","1. Seizure","Kenya","2020-08-25 00:00:00","11 Elephant tusks (172.4 kg) seized in Isiolo County - suspects fled","https://www.kenyanews.go.ke/security-agents-seize-11-elephant-tusks/","Media","","Environmental Investigation Agency (EIA)","Land - Vehicle","Inside Vehicle","","Transported by a Toyota Probox van.","","Confiscation","","","","","","","",""
"MOR33907","6. Human-Wildlife Conflict","Kenya","2020-02-10 00:00:00","Lion attacked with spear in Mara Conservancy","Robin des Bois On the Trail No.28 pg78","NGO","","","","","","","","No details given","","","","","","","",""
"MOR33909","2. Poaching / Illegal Harvesting","Kenya","2020-02-23 00:00:00","Lion rescued from poachers trap in Oltiasika, Kajiado","Robin des Bois On the Trail No.28 pg78","NGO","","","","","","","","No details given","","","","","","","",""
"MOR33913","2. Poaching / Illegal Harvesting","Kenya","2020-01-20 00:00:00","Female leopard rescued from a trap in Nyeri","Robin des Bois On the Trail No.28 pg79","NGO","","","","","","","","No details given","","","","","","","",""
"MOR33955","2. Poaching / Illegal Harvesting","Kenya","2020-02-19 00:00:00","Zebra rescued from poachers trap in Endana, Laikipia County","Robin des Bois On the Trail No.28 pg91","NGO","","","","","","","","No details given","","","","","","","",""
"MOR33956","2. Poaching / Illegal Harvesting","Kenya","2020-02-29 00:00:00","1 Zebra killed by a trap in Mount Kenya National Park","Robin des Bois On the Trail No.28 pg91","NGO","","","","","","","","No details given","","","","","","","",""
"MOR33957","2. Poaching / Illegal Harvesting","Kenya","2020-03-11 00:00:00","1 Zebra rescued from a trap in Naboisho Conservancy, Nakuru","Robin des Bois On the Trail No.28 pg91","NGO","","","","","","","","No details given","","","","","","","",""
"MOR33959","2. Poaching / Illegal Harvesting","Kenya","2020-03-11 00:00:00","1 Giraffe rescued from a trap in Mara Triangle, Nakuru","Robin des Bois On the Trail No.28 pg92","NGO","","","","","","","","No details given","","","","","","","",""
"MOR33962","2. Poaching / Illegal Harvesting","Kenya","2020-02-05 00:00:00","Female elephant rescued from snare in Mount Elgon National Park","Robin des Bois On the Trail No.28 pg100","NGO","","","","","","","","No details given","","","","","","","",""
"MOR34545","1. Seizure","Kenya","2017-07-01 00:00:00","Lion, buffalo, cheetah, hyena and leopard skins seized in Parklands, Nairobi - 1 arrested","https://www.standardmedia.co.ke/nairobi/article/2001249509/man-arrested-after-being-found-with-animal-trophies-in-nairobi","Media","Robin des Bois On the Trail No.18 pg61","Global dataset for seized and non-intercepted illegal cheetah trade (Acinonyx jubatus) 2010–2019.  (https://data.mendeley.com/datasets/84k92j4n3y/2)","","","","","","Confiscation & arrest","","","","","","","",""
"MOR34624","1. Seizure","Tanzania, United Republic of","2021-04-18 00:00:00","12 Elephant tusks seized in Matuga, Kwale - 1 suspect arrested","https://africasustainableconservation.com/2021/04/19/kenya-kwale-man-arrested-with-12-tusks/","Media","","","","In Premises (either domestic or business)","","Seized from a local guest house.","Investigation","Confiscation & arrest","","","","","","","",""
"MOR35009","1. Seizure","Kenya","2021-04-01 00:00:00","1 Elephant tusk seizd at Elerai area, Tsavo West National Park - 1 suspect arrested","https://africasustainableconservation.com/2021/04/29/kenya-man-arrested-with-an-elephant-tusk-in-tsavo-west-national-park/","Media","","","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR35010","1. Seizure","Kenya","2021-04-01 00:00:00","5 Elephant tusks (28 kg) seized in Meru National Park - 2 suspects arrested","https://africasustainableconservation.com/2021/04/29/kenya-two-arrested-with-tusks-in-meru/","Media","","","Land - Vehicle","Other (please specify in Method of Concealment Details field)","","Items were being transported using a motorcycle","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR35107","1. Seizure","Kenya","2021-04-01 00:00:00","12 pieces of ivory (35 kg) seized near Mombasa - 1 suspect arrested","https://biglife.org/program-updates/big-life-news/ivory-intel","Media","","","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR35605","1. Seizure","Kenya","2021-04-01 00:00:00","1 live pangolin seized in Taveta","https://biglife.org/program-updates/big-life-news/another-pangolin-saved","NGO","","","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR3799","1. Seizure","Kenya","2016-01-25 00:00:00","Two Vietnamese one Chinese rhino and lion products Congo to China via Kenya","http://www.thanhniennews.com/society/2-vietnamese-arrested-in-kenya-for-illegal-rhino-products-58693.html","Media","","","Air","In Personal Baggage","","","","Confiscation & arrest","","","","","","","",""
"MOR4144","1. Seizure","Kenya","2016-02-29 00:00:00","Four Kenyan policemen charged for selling 5kg of illegal ivory","http://www.ibtimes.com/kenyas-war-poaching-police-charged-allegedly-selling-ivory-nairobi-west-2327872","Media","http://www.the-star.co.ke/news/2016/03/02/four-policemen-caught-with-ivory_c1304705?page=0%2C0
https://www.the-star.co.ke/news/2019-08-21-four-officers-jailed-for-life-for-poaching/","","Land - Vehicle","Inside Vehicle","","","Intelligence","Conviction - court fine","4","","4","","","","",""
"MOR4161","1. Seizure","Kenya","2016-02-23 00:00:00","Eastern Black Rhino killed and horns cut-off in Ol Pejeta Conservancy, Laikipia County, Kenya","http://allafrica.com/stories/201602261474.html","Media","http://www.the-star.co.ke/news/2016/03/01/three-deny-killing-rhino-for-its-horns_c1303602
http://www.eturbonews.com/68847/two-custody-over-killing-rhino","","","","","","Investigation","Charged - Bail granted","2","","","","","","",""
"MOR4188","1. Seizure","Mozambique","2016-03-11 00:00:00","76kg rhino horns seized at Mozambican airport","http://www.shanghaidaily.com/article/article_xinhua.aspx?id=323444","Media","http://allafrica.com/stories/201603150110.html","","Air","In Personal Baggage","","The contraband was discovered in two suitcases","","Confiscation","","","","","","","",""
"MOR4282","1. Seizure","Kenya","2016-03-22 00:00:00","Kenyan Police finds 39 tusks on a suspected ivory smuggler","http://www.standardmedia.co.ke/article/2000195735/suspect-arrested-with-39-pieces-of-ivory-in-githurai-kimbo-nairobi","Media","","","","In Premises (either domestic or business)","","The suspect and the specimens were found at a house that is thought to belong to the arrested suspect's sister who is out of the country.","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR4286","1. Seizure","Kenya","2016-03-29 00:00:00","JKIA police seize ivory worth Sh6.4 million on transit from Mozambique to Thailand","http://www.standardmedia.co.ke/article/2000196560/jkia-police-seize-ivory-worth-sh6-4-million-on-transit-from-mozambique-to-thailand","Media","","","Air","In Freight (as on plane)","Amongst other goods","According to police the ivory was concealed in a luggage that had been disguised as gemstones. 

Airport head of DCI Joseph Ngisa said there were 22 stones in the cargo but two of them had ivory. “The rest were just stones disguised as gemstones. There were no gemstones,” said Ngisa.","X-ray","Confiscation","","","","","","","",""
"MOR4383","1. Seizure","Kenya","2016-03-05 00:00:00","15.4kg elephant tusks seized in Maralal","http://allafrica.com/stories/201603060328.html","Media","","","","Other (please specify in Method of Concealment Details field)","","Hidden in a bush in Kirisia Forest near Maralal Town. Suspicious residents reported the incident to relevant authorities.","Intelligence","Confiscation","","","","","","","",""
"MOR4936","1. Seizure","Mozambique","2016-05-02 00:00:00","22.4 kg rhino horn – Vietnamese citizen in Mozambique","http://clubofmozambique.com/news/vietnamese-man-arrested-in-maputo-airport-with-11-rhino-horns/","Media","","","Air","In Personal Baggage","","The suitcases had 11 white rhino horns, two of which of large size with the total weight of 19,6 kg, and also two bags with parts of rhino horn disguised as cylinders and remains with the weight of 2,8 kg.","","Confiscation & arrest","","","","","","","",""
"MOR5536","9. Enforcement Action / Prosecution","Kenya","2016-01-01 00:00:00","Ivory carvings seized at Jomo Kenyatta, one Chinese national convicted","http://www.the-star.co.ke/news/2016/04/29/sh24-million-netted-in-fines-from-illegal-wildlife-trophy-seizures-and_c1341499","Media","","","Air","","","","Dogs","Conviction - imprisonment","1","","1","","","","5","Years"
"MOR5650","1. Seizure","Kenya","2016-06-07 00:00:00","Kenyan Revenue Authority seized two elephant tusks in Mombasa","http://www.china.org.cn/world/Off_the_Wire/2016-06/08/content_38623965.htm","Media","http://www.the-star.co.ke/news/2016/06/08/kra-kws-impounds-ivory-carvings-worth-sh600000-at-mombasa-port_c1366009 [LINK NO LONGER WORKS]
http://www.coastweek.com/3923-Revenue-Authority-investigate-ivory-haul-seized-at-Mombasa-port.htm","","Sea","In Personal Baggage","Other","Found at a container freight station concealed in luggage. It was disguised as household goods - discovered during inspections","Dogs","Confiscation","","","","","","","",""
"MOR5654","1. Seizure","Kenya","2016-06-08 00:00:00","500kg Pangolin scales seized at Jomo Kenyatta Airport, Nairobi, Kenya on way to Laos","http://www.kws.go.ke/content/kws-canine-unit-intercepts-500kg-pangolin-scales","Media","","","Air","Other (please specify in Method of Concealment Details field)","","Found in the KQ Cargo area of the Arirport. The consignment was unaccompanied. The entire Permit and all other documents accompanying the consignment are fake and a Mr Diallo (who signed the permit) is not a permit signatory in Guinea.","Routine Inspection","Confiscation","","","","","","","",""
"MOR7767","1. Seizure","Kenya","2016-12-20 00:00:00","1.97 tonnes of ivory seized - Mombasa Port, Kenya","http://www.the-star.co.ke/news/2016/12/23/suspect-arrested-after-sh197-million-ivory-seized-at-mombasa-port_c1477771 [LINK NO LONGER WORKS]","Media","https://news.mongabay.com/2019/04/kenya-on-the-brink-of-acquitting-ivory-trafficker-number-four-commentary/","","Sea","In Container (as on ship)","","The ivory had been hidden in hollow wooden planks and declared as ceramics","Intelligence","Acquitted/Not deemed illegal","1","","","","","","",""
"MOR7934","1. Seizure","Viet Nam","2016-12-29 00:00:00","19 pieces of rhino horn (54 kg) seized at Noi Bai International Airport","http://customsnews.vn/noi-bai-customs-seize-more-than-50-kgs-of-imported-rhino-horn-2238.html  [LINK NO LONGER WORKS]","Customs","http://infonet.vn/phat-hien-hon-50kg-nghi-sung-te-giac-van-chuyen-qua-duong-hang-khong-post217874.info
https://env4wildlife.org/wp-content/uploads/2020/01/WCB-2017-No.2.pdf","","Air","In Personal Baggage","Other","commodities hiden in a red suitcase coated by white nylon numbered TM 118344 with the total weight up to 61.2kg. The contraband was on the flight numbered KQ 870/28 DEC 16 en route Nairobi (Kenya) to Hanoi","X-ray","Confiscation","","","","","","","",""
"MOR8048","1. Seizure","Kenya","2017-02-20 00:00:00","1 ivory bangle seized at Jomo Kenyatta International Airport, Kenya - American missionary convicted","http://www.the-star.co.ke/news/2017/02/24/american-missionary-fined-sh1m-for-having-ivory-bangle_c1513393","Media","","","Air","On Person","","Suspect was wearing the bangle","Routine Inspection","Conviction","1","","","","","","",""
"MOR8143","1. Seizure","Viet Nam","2017-03-14 00:00:00","46 rhino horns (118 kg) seized at Noi Bai International Airport","http://customsnews.vn/discovery-over-100kg-animal-horns-transported-via-noi-bai-international-airport-2948.html","Media","http://www.coastweek.com/4011-Nairobi-airport-officials-grilled-over-rhino-horns-seized-in-Vietnam.htm
http://www.nation.co.ke/news/Vietnam-seizes-rhino-horn-from-Kenya/1056-3850262-w2dm4j/index.html","","Air","In Personal Baggage","","Two suitcases [blue and brown] with card numbers: 3706KQ002462 and 3706KQ002486 with suspicious signs. Checked as neither of the suitcases bore any information on the recipients or the weight.","Routine Inspection","Confiscation","","","","","","","",""
"MOR8669","1. Seizure","Malaysia","2017-05-03 00:00:00","304 kg pangolin scales seized at Kuala Lumpur Airport","http://www.thestar.com.my/news/nation/2017/05/09/rm9mil-in-pangolin-scales-seized-after-tipoffs/","Media","https://www.nst.com.my/news/crime-courts/2017/05/237348/klia-customs-seizes-rm9-million-record-haul-pangolin-scales
https://uk.reuters.com/article/us-malaysia-pangolins-idUKKBN1840S7","","Air","In Premises (either domestic or business)","Other","Found in ten gunnysacks, labelled as dry herbs in KLIA air cargo warehouse.","Intelligence","Confiscation","","","","","","","",""
"MOR8807","9. Enforcement Action / Prosecution","Kenya","2017-04-24 00:00:00","18 suspects arrested in Kenya (various) in anti-poaching sting","http://news.xinhuanet.com/english/2017-05/06/c_136262120.htm","Media","","","","","","","","-","","","","","","","",""
"MOR9793","1. Seizure","Kenya","2017-07-29 00:00:00","120 kg ivory seized at Jomo Kenyatta Airport - 1 female arrested","https://www.standardmedia.co.ke/article/2001249782/chinese-woman-arrested-in-nairobi-with-120kg-of-ivory-worth-sh10-million","Media","","","Air","In Personal Baggage","Other","Placed in small boxes and disguised as food.","","Confiscation & arrest","","","","","","","",""
